Log for:/home/jrethore/fic_enseignement/fic_CISM/HANDS-ON/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-10-02T18:50:57Z
#=#=#=#=# Propagation starts 2022-10-02T18:50:57Z (last step: 191 msec , total: 191 msec) 
#=#=#=# Syncrun finished 2022-10-02T18:58:29Z (last step: 15 msec , total: 901 msec) 
#=#=#=# Syncrun started 2022-10-02T18:58:37Z
#=#=#=#=# Propagation starts 2022-10-02T18:58:38Z (last step: 247 msec , total: 247 msec) 
2022-10-02T19:04:30Z | DIC/DIC.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737116 | 7520340dc7a738582737c934998d796a | 896997 | 08665680oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 896989 | 1664464336 | eda3901a-65a6-420e-9b08-938c86170994 | 
#=#=#=# Syncrun finished 2022-10-02T18:58:49Z (last step: 11165 msec , total: 11412 msec) 
#=#=#=# Syncrun started 2022-10-02T18:59:08Z
#=#=#=#=# Propagation starts 2022-10-02T18:59:08Z (last step: 477 msec , total: 477 msec) 
#=#=#=# Syncrun finished 2022-10-02T18:59:09Z (last step: 13 msec , total: 491 msec) 
#=#=#=# Syncrun started 2022-10-02T19:00:08Z
#=#=#=#=# Propagation starts 2022-10-02T19:00:08Z (last step: 209 msec , total: 209 msec) 
2022-10-02T19:06:00Z | DIC/DIC.ipynb | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1664737206 | 0c31f2cac59d3c90e7a64b9fac5d9e7a | 896823 | 08665680oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 896997 | 1664737116 | c19cc1d3-bbed-4aeb-a708-85924ac14867 | 
#=#=#=# Syncrun finished 2022-10-02T19:00:19Z (last step: 10479 msec , total: 10689 msec) 
#=#=#=# Syncrun started 2022-10-02T19:00:28Z
#=#=#=#=# Propagation starts 2022-10-02T19:00:28Z (last step: 464 msec , total: 464 msec) 
#=#=#=# Syncrun finished 2022-10-02T19:00:28Z (last step: 16 msec , total: 480 msec) 
#=#=#=# Syncrun started 2022-10-02T19:01:11Z
#=#=#=#=# Propagation starts 2022-10-02T19:01:11Z (last step: 221 msec , total: 221 msec) 
